Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3552551;Interior;Suzanápolis;376;13;;;
3552601;Interior;Tabapuã;1917;59;;;
3552700;Interior;Tabatinga;2076;60;;;
3552809;RMSP (exceto capital);Taboão da Serra;18675;925;;;
3552908;Interior;Taciba;835;24;;;
3553005;Interior;Taguaí;2621;38;;;
3553104;Interior;Taiaçu;401;11;;;
3553203;Interior;Taiúva;907;14;;;
3553302;Interior;Tambaú;2466;49;;;
3553401;Interior;Tanabi;4876;115;;;
3553500;Interior;Tapiraí;860;10;;;
3553609;Interior;Tapiratiba;1705;33;;;
3553658;Interior;Taquaral;367;11;;;
3553708;Interior;Taquaritinga;6682;210;;;
3553807;Interior;Taquarituba;3830;107;;;
3553856;Interior;Taquarivaí;533;19;;;
3553906;Interior;Tarabai;874;30;;;
3553955;Interior;Tarumã;1783;52;;;
3554003;Interior;Tatuí;10504;459;;;
3554102;Interior;Taubaté;28991;923;;;
3554201;Interior;Tejupá;143;9;;;
3554300;Interior;Teodoro Sampaio;2972;51;;;
3554409;Interior;Terra Roxa;1178;33;;;
3554508;Interior;Tietê;4386;119;;;
3554607;Interior;Timburi;167;9;;;
3554656;Interior;Torre de Pedra;182;11;;;
3554706;Interior;Torrinha;1558;22;;;
3554755;Interior;Trabiju;222;2;;;
3554805;Interior;Tremembé;2731;53;;;
3554904;Interior;Três Fronteiras;879;32;;;
3554953;Interior;Tuiuti;297;3;;;
3555000;Interior;Tupã;7187;273;;;
3555109;Interior;Tupi Paulista;1676;49;;;
3555208;Interior;Turiúba;185;4;;;
3555307;Interior;Turmalina;207;5;;;
3555356;Interior;Ubarana;1076;18;;;
3555406;Interior;Ubatuba;7872;135;;;
3555505;Interior;Ubirajara;567;10;;;
3555604;Interior;Uchoa;1466;30;;;
3555703;Interior;União Paulista;230;6;;;
3555802;Interior;Urânia;1413;39;;;
3555901;Interior;Uru;171;5;;;
3556008;Interior;Urupês;885;46;;;
3556107;Interior;Valentim Gentil;2439;69;;;
3556206;Interior;Valinhos;14945;409;;;
3556305;Interior;Valparaíso;3119;81;;;
3556354;Interior;Vargem;400;9;;;
3556404;Interior;Vargem Grande do Sul;3217;100;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;3017;112;;;
3556503;Interior;Várzea Paulista;8994;259;;;
3556602;Interior;Vera Cruz;664;37;;;
3556701;Interior;Vinhedo;10564;208;;;
3556800;Interior;Viradouro;2043;91;;;
3556909;Interior;Vista Alegre do Alto;1153;17;;;
3556958;Interior;Vitória Brasil;250;9;;;
3557006;Interior;Votorantim;11686;517;;;
3557105;Interior;Votuporanga;16179;456;;;
3557154;Interior;Zacarias;268;10;;;
3557204;Interior;Chavantes;1391;48;;;
3557303;Interior;Estiva Gerbi;812;33;;;
;;Ignorado;128;0;;;
;;;;;;;
;;;;;;;
;;;;;;;
