Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512407;Interior;Cordeirópolis;5905;98;;;
3512506;Interior;Coroados;763;20;;;
3512605;Interior;Coronel Macedo;664;25;;;
3512704;Interior;Corumbataí;401;7;;;
3512803;Interior;Cosmópolis;7915;172;;;
3512902;Interior;Cosmorama;796;39;;;
3513009;RMSP (exceto capital);Cotia;16219;646;;;
3513108;Interior;Cravinhos;2203;98;;;
3513207;Interior;Cristais Paulista;1294;15;;;
3513306;Interior;Cruzália;198;6;;;
3513405;Interior;Cruzeiro;6746;101;;;
3513504;Interior;Cubatão;13891;485;;;
3513603;Interior;Cunha;981;14;;;
3513702;Interior;Descalvado;4206;82;;;
3513801;RMSP (exceto capital);Diadema;26529;1399;;;
3513850;Interior;Dirce Reis;195;5;;;
3513900;Interior;Divinolândia;1370;48;;;
3514007;Interior;Dobrada;614;9;;;
3514106;Interior;Dois Córregos;1824;43;;;
3514205;Interior;Dolcinópolis;249;7;;;
3514304;Interior;Dourado;987;19;;;
3514403;Interior;Dracena;5872;262;;;
3514502;Interior;Duartina;1125;28;;;
3514601;Interior;Dumont;1507;23;;;
3514700;Interior;Echaporã;807;25;;;
3514809;Interior;Eldorado;1670;26;;;
3514908;Interior;Elias Fausto;1524;36;;;
3514924;Interior;Elisiário;579;8;;;
3514957;Interior;Embaúba;123;10;;;
3515004;RMSP (exceto capital);Embu das Artes;10669;608;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5155;214;;;
3515129;Interior;Emilianópolis;370;8;;;
3515152;Interior;Engenheiro Coelho;2664;55;;;
3515186;Interior;Espírito Santo do Pinhal;4936;108;;;
3515194;Interior;Espírito Santo do Turvo;471;8;;;
3515202;Interior;Estrela d'Oeste;1535;30;;;
3515301;Interior;Estrela do Norte;381;6;;;
3515350;Interior;Euclides da Cunha Paulista;504;15;;;
3515400;Interior;Fartura;2326;50;;;
3515509;Interior;Fernandópolis;12707;357;;;
3515608;Interior;Fernando Prestes;886;11;;;
3515657;Interior;Fernão;231;1;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10401;485;;;
3515806;Interior;Flora Rica;130;7;;;
3515905;Interior;Floreal;261;7;;;
3516002;Interior;Flórida Paulista;1280;34;;;
3516101;Interior;Florínea;385;11;;;
3516200;Interior;Franca;38505;911;;;
3516309;RMSP (exceto capital);Francisco Morato;11999;438;;;
3516408;RMSP (exceto capital);Franco da Rocha;13140;393;;;
3516507;Interior;Gabriel Monteiro;325;6;;;
3516606;Interior;Gália;576;18;;;
3516705;Interior;Garça;5484;141;;;
3516804;Interior;Gastão Vidigal;205;16;;;
3516853;Interior;Gavião Peixoto;1343;23;;;
3516903;Interior;General Salgado;1115;41;;;
3517000;Interior;Getulina;1156;33;;;
3517109;Interior;Glicério;586;22;;;
3517208;Interior;Guaiçara;1365;24;;;
3517307;Interior;Guaimbê;586;9;;;
3517406;Interior;Guaíra;5728;221;;;
3517505;Interior;Guapiaçu;2049;79;;;
3517604;Interior;Guapiara;2307;86;;;
3517703;Interior;Guará;2570;105;;;
3517802;Interior;Guaraçaí;875;23;;;
3517901;Interior;Guaraci;1388;25;;;
3518008;Interior;Guarani d'Oeste;227;5;;;
3518107;Interior;Guarantã;289;20;;;
3518206;Interior;Guararapes;4216;112;;;
3518305;RMSP (exceto capital);Guararema;2316;99;;;
3518404;Interior;Guaratinguetá;11198;305;;;
3518503;Interior;Guareí;3426;30;;;
3518602;Interior;Guariba;4207;100;;;
3518701;Interior;Guarujá;22655;1285;;;
3518800;RMSP (exceto capital);Guarulhos;63799;4886;;;
3518859;Interior;Guatapará;496;22;;;
3518909;Interior;Guzolândia;579;30;;;
3519006;Interior;Herculândia;1158;24;;;
3519055;Interior;Holambra;2079;14;;;
3519071;Interior;Hortolândia;25544;760;;;
3519105;Interior;Iacanga;1562;28;;;
3519204;Interior;Iacri;619;15;;;
3519253;Interior;Iaras;288;21;;;
3519303;Interior;Ibaté;3996;103;;;
3519402;Interior;Ibirá;2052;42;;;
3519501;Interior;Ibirarema;800;32;;;
3519600;Interior;Ibitinga;9961;284;;;
3519709;Interior;Ibiúna;5219;136;;;
3519808;Interior;Icém;1227;28;;;
